S08000001,Ayrshire & Arran
S08000002,Borders
S08000003,Dumfries and Galloway
S08000004,Fife
S08000005,Forth Valley
S08000006,Grampian
S08000007,Greater Glasgow & Clyde
S08000008,Highland
S08000009,Lanarkshire
S08000010,Lothian
S08000011,Orkney
S08000012,Shetland
S08000013,Tayside
S08000014,Western Isles
