Aston Clinton Ward,E05002594
Wirksworth Ward,E05003366
Abbotsford Ward,E05003367
Breaston Ward,E05003368
Cotmanhay Ward,E05003369
Derby Road East Ward,E05003370
Derby Road West Ward,E05003371
Draycott Ward,E05003372
Hallam Fields Ward,E05003373
Ilkeston Central Ward,E05003374
Ilkeston North Ward,E05003375
Kirk Hallam Ward,E05003376
Little Eaton and Breadsall Ward,E05003377
Little Hallam Ward,E05003378
Long Eaton Central Ward,E05003379
Nottingham Road Ward,E05003380
Ockbrook and Borrowash Ward,E05003381
Old Park Ward,E05003382
Sandiacre North Ward,E05003383
Sandiacre South Ward,E05003384
Sawley Ward,E05003385
Stanley Ward,E05003386
West Hallam and Dale Abbey Ward,E05003387
Wilsthorpe Ward,E05003388
Barms Ward,E05003389
Blackbrook Ward,E05003390
Burbage Ward,E05003391
Buxton Central Ward,E05003392
Chapel East Ward,E05003393
Chapel West Ward,E05003394
Corbar Ward,E05003395
Cote Heath Ward,E05003396
Dinting Ward,E05003397
Gamesley Ward,E05003398
