Freshney Ward,E05001715
Haverstoe Ward,E05001716
Heneage Ward,E05001717
Humberston and New Waltham Ward,E05001718
Immingham Ward,E05001719
Park Ward,E05001720
Scartho Ward,E05001721
Sidney Sussex Ward,E05001722
South Ward,E05001723
Waltham Ward,E05001724
West Marsh Ward,E05001725
Wolds Ward,E05001726
Yarborough Ward,E05001727
Ashby Ward,E05001728
Axholme Central Ward,E05001729
Axholme North Ward,E05001730
Axholme South Ward,E05001731
Barton Ward,E05001732
Bottesford Ward,E05001733
Brigg and Wolds Ward,E05001734
Broughton and Appleby Ward,E05001735
Brumby Ward,E05001736
Burringham and Gunness Ward,E05001737
Burton upon Stather and Winterton Ward,E05001738
Crosby and Park Ward,E05001739
Ferry Ward,E05001740
Frodingham Ward,E05001741
Kingsway with Lincoln Gardens Ward,E05001742
Ridge Ward,E05001743
Town Ward,E05001744
Acomb Ward,E05001745
Bishopthorpe Ward,E05001746
Clifton Ward,E05001747
Derwent Ward,E05001748
Dringhouses and Woodthorpe Ward,E05001749
Fishergate Ward,E05001750
Fulford Ward,E05001751
Guildhall Ward,E05001752
Haxby and Wigginton Ward,E05001753
Heslington Ward,E05001754
Heworth Ward,E05001755
Heworth without Ward,E05001756
Holgate Ward,E05001757
Hull Road Ward,E05001758
Huntington and New Earswick Ward,E05001759
Micklegate Ward,E05001760
Osbaldwick Ward,E05001761
Rural West York Ward,E05001762
"Skelton, Rawcliffe and Clifton Without Ward",E05001763
Strensall Ward,E05001764
Westfield Ward,E05001765
Wheldrake Ward,E05001766
Abbey Ward,E05001767
Allestree Ward,E05001768
Alvaston Ward,E05001769
Arboretum Ward,E05001770
Blagreaves Ward,E05001771
Boulton Ward,E05001772
Chaddesden Ward,E05001773
Chellaston Ward,E05001774
Darley Ward,E05001775
Derwent Ward,E05001776
Littleover Ward,E05001777
Mackworth Ward,E05001778
Mickleover Ward,E05001779
Normanton Ward,E05001780
Oakwood Ward,E05001781
Sinfin Ward,E05001782
Spondon Ward,E05001783
Abbey Ward,E05001784
Aylestone Ward,E05001785
Beaumont Leys Ward,E05001786
Belgrave Ward,E05001787
Braunstone Park and Rowley Fields Ward,E05001788
Castle Ward,E05001789
Charnwood Ward,E05001790
Coleman Ward,E05001791
Evington Ward,E05001792
Eyres Monsell Ward,E05001793
Fosse Ward,E05001794
Freemen Ward,E05001795
Humberstone and Hamilton Ward,E05001796
Knighton Ward,E05001797
Latimer Ward,E05001798
New Parks Ward,E05001799
Rushey Mead Ward,E05001800
Spinney Hills Ward,E05001801
Stoneygate Ward,E05001802
Thurncourt Ward,E05001803
Westcotes Ward,E05001804
Western Park Ward,E05001805
Braunston and Belton Ward,E05001806
Cottesmore Ward,E05001807
Exton Ward,E05001808
Greetham Ward,E05001809
Ketton Ward,E05001810
Langham Ward,E05001811
Lyddington Ward,E05001812
Martinsthorpe Ward,E05001813
Normanton Ward,E05001814
Oakham North East Ward,E05001815
Oakham North West Ward,E05001816
Oakham South East Ward,E05001817
Oakham South West Ward,E05001818
Ryhall and Casterton Ward,E05001819
Uppingham Ward,E05001820
Whissendine Ward,E05001821
Arboretum Ward,E05001822
Aspley Ward,E05001823
Basford Ward,E05001824
Berridge Ward,E05001825
Bestwood Ward,E05001826
Bilborough Ward,E05001827
Bridge Ward,E05001828
Bulwell Ward,E05001829
Bulwell Forest Ward,E05001830
Clifton North Ward,E05001831
Clifton South Ward,E05001832
Dales Ward,E05001833
Dunkirk and Lenton Ward,E05001834
Leen Valley Ward,E05001835
Mapperley Ward,E05001836
Radford and Park Ward,E05001837
St. Ann's Ward,E05001838
Sherwood Ward,E05001839
Wollaton East and Lenton Abbey Ward,E05001840
Wollaton West Ward,E05001841
Aylestone Ward,E05001842
Backbury Ward,E05001843
Belmont Ward,E05001844
Bircher Ward,E05001845
Bringsty Ward,E05001846
Bromyard Ward,E05001847
"Burghill, Holmer and Lyde Ward",E05001848
Castle Ward,E05001849
Central Ward,E05001850
Credenhill Ward,E05001851
Frome Ward,E05001852
Golden Cross with Weobley Ward,E05001853
Golden Valley North Ward,E05001854
Golden Valley South Ward,E05001855
Hagley Ward,E05001856
Hampton Court Ward,E05001857
Hollington Ward,E05001858
Hope End Ward,E05001859
Kerne Bridge Ward,E05001860
Kington Town Ward,E05001861
Ledbury Ward,E05001862
Leominster North Ward,E05001863
Leominster South Ward,E05001864
Llangarron Ward,E05001865
Mortimer Ward,E05001866
Old Gore Ward,E05001867
Pembridge and Lyonshall with Titley Ward,E05001868
Penyard Ward,E05001869
Pontrilas Ward,E05001870
Ross-on-Wye East Ward,E05001871
Ross-on-Wye West Ward,E05001872
St. Martins and Hinton Ward,E05001873
St. Nicholas Ward,E05001874
Stoney Street Ward,E05001875
Sutton Walls Ward,E05001876
Three Elms Ward,E05001877
Tupsley Ward,E05001878
Upton Ward,E05001879
Valletts Ward,E05001880
Wormsley Ridge Ward,E05001881
Apley Castle Ward,E05001882
Arleston Ward,E05001883
