St. Michaels Ward,E05000879
Shevington Ward,E05000880
Stockbridge Ward,E05000881
Swanside Ward,E05000882
Whiston North Ward,E05000883
Whiston South Ward,E05000884
Whitefield Ward,E05000885
Allerton and Hunts Cross Ward,E05000886
Anfield Ward,E05000887
Belle Vale Ward,E05000888
Central Ward,E05000889
Childwall Ward,E05000890
Church Ward,E05000891
Clubmoor Ward,E05000892
County Ward,E05000893
Cressington Ward,E05000894
Croxteth Ward,E05000895
Everton Ward,E05000896
Fazakerley Ward,E05000897
Greenbank Ward,E05000898
Kensington and Fairfield Ward,E05000899
Kirkdale Ward,E05000900
Knotty Ash Ward,E05000901
Mossley Hill Ward,E05000902
Norris Green Ward,E05000903
Old Swan Ward,E05000904
Picton Ward,E05000905
Princes Park Ward,E05000906
Riverside Ward,E05000907
St. Michael's Ward,E05000908
Speke-Garston Ward,E05000909
Tuebrook and Stoneycroft Ward,E05000910
Warbreck Ward,E05000911
Wavertree Ward,E05000912
West Derby Ward,E05000913
Woolton Ward,E05000914
Yew Tree Ward,E05000915
Billinge and Seneley Green Ward,E05000916
Blackbrook Ward,E05000917
Bold Ward,E05000918
Earlestown Ward,E05000919
Eccleston Ward,E05000920
Haydock Ward,E05000921
Moss Bank Ward,E05000922
Newton Ward,E05000923
Parr Ward,E05000924
Rainford Ward,E05000925
Rainhill Ward,E05000926
Sutton Ward,E05000927
Thatto Heath Ward,E05000928
Town Centre Ward,E05000929
West Park Ward,E05000930
Windle Ward,E05000931
Ainsdale Ward,E05000932
Birkdale Ward,E05000933
Blundellsands Ward,E05000934
Cambridge Ward,E05000935
Church Ward,E05000936
Derby Ward,E05000937
Duke's Ward,E05000938
Ford Ward,E05000939
Harington Ward,E05000940
Kew Ward,E05000941
Linacre Ward,E05000942
Litherland Ward,E05000943
Manor Ward,E05000944
Meols Ward,E05000945
Molyneux Ward,E05000946
Netherton and Orrell Ward,E05000947
Norwood Ward,E05000948
Park Ward,E05000949
Ravenmeols Ward,E05000950
St. Oswald Ward,E05000951
Sudell Ward,E05000952
Victoria Ward,E05000953
Bebington Ward,E05000954
Bidston and St. James Ward,E05000955
Birkenhead and Tranmere Ward,E05000956
Bromborough Ward,E05000957
Clatterbridge Ward,E05000958
Claughton Ward,E05000959
Eastham Ward,E05000960
"Greasby, Frankby and Irby Ward",E05000961
Heswall Ward,E05000962
Hoylake and Meols Ward,E05000963
Leasowe and Moreton East Ward,E05000964
Liscard Ward,E05000965
Moreton West and Saughall Massie Ward,E05000966
New Brighton Ward,E05000967
Oxton Ward,E05000968
Pensby and Thingwall Ward,E05000969
Prenton Ward,E05000970
Rock Ferry Ward,E05000971
Seacombe Ward,E05000972
Upton Ward,E05000973
Wallasey Ward,E05000974
